"","CurrentSpecies","Nativity","Lifeform","Duration"
"1","Cymopterus spp.",NA,"forb",NA
"2","Lomatium spp.",NA,"forb",NA
"3","Allium spp.",NA,"forb",NA
"4","Ambrosia spp.",NA,"forb",NA
"5","Antennaria spp.",NA,"forb",NA
"6","Brickellia spp.",NA,NA,"perennial"
"7","Chaenactis spp.",NA,"forb",NA
"8","Chrysothamnus spp.",NA,"shrub","perennial"
"9","Cirsium spp.",NA,"forb",NA
"10","Dieteria spp.",NA,"forb",NA
"11","Erigeron spp.",NA,"forb",NA
"12","Helianthus spp.",NA,"forb",NA
"13","Hymenopappus spp.",NA,"forb",NA
"14","Hymenoxys spp.",NA,"forb",NA
"15","Malacothrix spp.",NA,"forb",NA
"16","Packera spp.",NA,"forb",NA
"17","Pectis spp.",NA,"forb",NA
"18","Senecio spp.",NA,"forb",NA
"19","Senecio bigelovii","native","forb",NA
"20","Solidago spp.",NA,"forb",NA
"21","Stephanomeria spp.",NA,"forb","perennial"
"22","Tetraclea spp.",NA,"forb",NA
"23","Tetraneuris spp.",NA,"forb",NA
"24","Thymophylla spp.",NA,NA,"perennial"
"25","Townsendia spp.",NA,"forb",NA
"26","Wyethia spp.",NA,"forb",NA
"27","Cryptantha spp.",NA,"forb",NA
"28","Lappula spp.",NA,"forb",NA
"29","Nama spp.",NA,"forb",NA
"30","Phacelia spp.",NA,"forb",NA
"31","Arabis spp.",NA,"forb",NA
"32","Boechera spp.",NA,"forb",NA
"33","Descurainia spp.",NA,"forb",NA
"34","Draba spp.",NA,"forb",NA
"35","Lepidium spp.",NA,"forb",NA
"36","Physalis spp.",NA,"forb",NA
"37","Streptanthus spp.",NA,"forb","perennial"
"38","Thlaspi spp.",NA,"forb",NA
"39","Amaranthus spp.",NA,"forb",NA
"40","Chenopodium spp.",NA,"forb",NA
"41","Echinocereus spp.",NA,"cactus","perennial"
"42","Escobaria spp.",NA,"cactus","perennial"
"43","Opuntia spp.",NA,"cactus","perennial"
"44","Sclerocactus spp.",NA,"cactus","perennial"
"45","Silene spp.",NA,"forb",NA
"46","Phemeranthus spp.",NA,"forb",NA
"47","Allionia spp.",NA,"forb",NA
"48","Boerhavia spp.",NA,"forb",NA
"49","Mirabilis spp.",NA,"forb",NA
"50","Tripterocalyx carneus","native","forb",NA
"51","Eriogonum spp.",NA,"forb",NA
"52","Polygonum spp.",NA,"forb",NA
"53","Rumex spp.",NA,"forb",NA
"54","Portulaca spp.",NA,"forb",NA
"55","Tradescantia spp.",NA,"forb",NA
"56","Mentzelia spp.",NA,"forb",NA
"57","Eriastrum spp.",NA,"forb",NA
"58","Gilia spp.",NA,"forb",NA
"59","Ipomopsis spp.",NA,"forb",NA
"60","Astragalus spp.",NA,"forb",NA
"61","Dalea spp.",NA,"forb",NA
"62","Lupinus spp.",NA,"forb",NA
"63","Phaseolus spp.",NA,"vine",NA
"64","Psoralidium spp.",NA,"forb",NA
"65","Trifolium spp.",NA,"forb",NA
"66","Vicia spp.",NA,"vine",NA
"67","Quercus spp.",NA,"shrub","perennial"
"68","Amsonia spp.",NA,"forb",NA
"69","Asclepias spp.",NA,"forb",NA
"70","Hedeoma spp.",NA,"forb",NA
"71","Castilleja spp.",NA,"forb",NA
"72","Orobanche spp.",NA,"forb",NA
"73","Penstemon spp.",NA,"forb",NA
"74","Penstemon caespitosus","native","forb",NA
"75","Calochortus spp.",NA,"forb",NA
"76","Euphorbia spp.",NA,"forb",NA
"77","Linum spp.",NA,"forb",NA
"78","Viola spp.",NA,"forb",NA
"79","Sphaeralcea spp.",NA,"forb",NA
"80","Oenothera spp.",NA,"forb",NA
"81","Carex spp.",NA,"graminoid",NA
"82","Agrostis spp.",NA,"graminoid",NA
"83","Bromus spp.",NA,"graminoid",NA
"84","Elymus spp.",NA,"graminoid",NA
"85","Eragrostis spectabilis","native","graminoid",NA
"86","Festuca spp.",NA,"graminoid",NA
"87","Hesperostipa spp.",NA,"graminoid",NA
"88","Muhlenbergia spp.",NA,"graminoid",NA
"89","Poa spp.",NA,"graminoid",NA
"90","Schismus spp.",NA,"graminoid",NA
"91","Sporobolus spp.",NA,"graminoid",NA
"92","Trisetum spp.",NA,"graminoid",NA
"93","Berberis spp.",NA,"shrub","perennial"
"94","Aquilegia spp.",NA,"forb",NA
"95","Delphinium spp.",NA,"forb",NA
"96","Prunus spp.",NA,"shrub","perennial"
"97","Urtica dioica","native","forb",NA
"98","Arceuthobium spp.",NA,"shrub","perennial"
"99","Ribes spp.",NA,"shrub","perennial"
"100","Cuscuta spp.",NA,"vine",NA
"101","Solanum spp.",NA,"forb",NA
